Adresseringsleverandører
Rådgivende ingeniører - Bygge- og anleggsteknikk
Rådgivende ingeniører - Elektroteknikk
Rådgivende ingeniører - Geoteknikk og ingeniørgeologi
Rådgivende ingeniører - Maskinteknikk
Rådgivende ingeniører - Oppmåling og kartlegging
Rådgivende ingeniører - Prosjektadministrasjon
Rådgivende ingeniører - Samferdselsteknikk og arealplanlegging
Rådgivende ingeniører - VVS og klimateknikk
Rådgivende ingeniører - Øvrige
Råvarer for industrien
Rør og rørleggerutstyr
Rørfornying
Rørinspeksjon
Rørleggertjenester
Rørmerking
Rørtransport
Sagbruk og høvlerier
Salgstjenester
Sand, pukk og grus
Sandblåsing
Satelittanlegg og -antenner
Sauehold
Sceneutstyr
Selskapsarrangører og -servering
Selskapslokaler
Sement, mørtel og betong
Sement, mørtel og betong - produksjon
Septiktanktømming
Serveringssteder
Shipping og sjøtransport
Sikring
Skadebegrensning og -sanering
Skadedyrbekjempelse
Skatterådgivning
Skilt og dekor
Skinn, lær og pels
Skinn, lær og pels - engros
Skip og båter - reparasjon og vedlikehold
Skipsbyggerier og -verft
Skipsekspedisjoner
Skipsklassifisering
Skipsmeglere
Skipsrederier
Skipsteknikk
Skipsutstyr
Skipsutstyr og fiskeredskap - engros
Skipsverft
Sko og tilbehør
Sko og tilbehør - agentur og engros
Sko og tilbehør - produksjon
Skobutikker
Skogbruk
Skogbruksmaskiner og -utstyr
Skogsrådgivning
Skolefritidsordninger
Skoler og undervisning
Skumplast
Slanger
Slepetjenester og -utstyr
Slipetjenester og utstyr
Smelteverker
Smøremidler og -utstyr
Snekkere
Snekkerverksteder
Snøryddingsutstyr
Solarieutstyr
Solskjerming
Spa/avslapning
Spedisjon og fortolling
Spill og leker
Spill og leker - engros
Spill og leker - produksjon
Sports- og fritidsutstyr
Sports- og fritidsutstyr - produksjon
Sports- og fritidsutstyr - engros
Sprengning og sprengningsutstyr
Stein
Stein og belegningsstein
Steinhogging
Stempler
Stiger og stillaser
Storfehold
Storkjøkkentjenester
Storkjøkkenutstyr
Stål og stålvarer
Stål og stålvarer - produksjon
Støpeteknikk
Støydemping og støymåling
Svakstrømsanlegg
Sveisetjenester
Sveiseutstyr
Svinehold
Svømmebasseng og massasjebad
Sykehjem
Sykehus
Sykehuskonsulenter
Systeminnredninger
TV og Radio
TV- og videoproduksjon
TV-selskaper
Takseringstjenester
Taktekking
Taktekkingsutstyr
Tanker
Tannhelse
Tannlege- og tannteknikerrekvisita
Tapeter
Tapeter og gulvbelegg
Teknisk prøving og analyse
Tekniske konsulenter
Tekstilbehandling
Tekstiler og tilbehør
Tekstiler og tilbehør - engros
Tekstiler og tilbehør - produksjon
Tekstiler, klær, pelsskinn, skotøy og lærvarer - agentur
Tekstilmaskiner og -utstyr
Tele- og datainstallatører
Telefonmarkedsføring
Telekommunikasjon
Telekommunikasjonsutstyr
Tepper og matter
Termografi
Tidsregistreringsutstyr
Tilhengere og -utstyr
Tobakk
Tobakk - engros
Tolker - Tysk
Torghandel
Trafikksikring
Trafikkskoler
Transformatorer
Translatører, statsautoriserte - Engelsk
Translatører, statsautoriserte - Spansk
Translatører, statsautoriserte - Tysk
Transmisjoner
Transport
Transportanlegg
Transportbånd
Transportutstyr
Transportøkonomisk rådgivning
Trapper
Trelast
Trelastforretninger
Treningssentre og andre sportsaktiviteter
Treningsutstyr
Trevarer
Trevarer - produksjon
Trucker
Trykkeritjenester
Trykkluftutstyr og pneumatikk
Turkjøring
Tyverivern
Tømmer, trelast og byggevarer - agentur og engros
Tørke- og avfuktningsanlegg
Underholdning- og arrangørtjenester
Undervannsarbeid
Urmakerforretninger
Urmakerforretninger - Agentur og en gros
Utemiljø
Utleie og leasing
Utvinning av råolje og naturgass
Utvinning av råolje og naturgass - tjenester
Vaktmestertjenester
Vaktselskaper
Vann og kloakk
Vannbehandling
Varme- og sanitær-anlegg og -utstyr
Varmeanlegg
Vaskeri- og renserimaskiner og utstyr
Vaskerier og renserier
Vedlikeholdskonsulenter
Veiarbeid og veisikring
Ventilasjonstjenester
Ventilasjonsutstyr
Ventiler og dyser
Verdipapir og fondsforvaltning
Verktøy og redskaper
Verktøy og redskaper- produksjon
Verktøymaskiner og -utstyr
Verne- og sikkerhetsutstyr
Vernede bedrifter
Veterinærtjenester
Videregående skoler
Vikartjenester
Vin, øl og brennevin
Vinsjer, spill og taljer
Våpen og ammunisjon
Våpen og ammunisjon - produksjon
Våtromsinnredninger og -utstyr
Yrkesklær
Yrkessammenslutninger
Zoologiske forretninger
Økonomisk rådgivning 
